icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions
79595,79595,Ge1 Ru1 Sc1,189,1,0,0,Ge2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
79936,79936,Co1 N1,216,1,0,0,Co1|N1,-|3d,"e_g{z2,x2-y2}",0,,
80350,80350,As2 Co1 O6,162,1,0,0,Co1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
80376,80376,N2 Sr2 Zn1,139,1,0,0,Zn1,3d,"p{x,y}|{xz,yz}",0,,
80459,80459,C1 Li1 Na1 O3,174,0,0,1,C1|C2|C3,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
80606,66776,C2 Ba4 Cu1 Na1 O10,121,0,0,1,Cu1|Na1,-|3d,"p{x,y}|{xz,yz}",0,,
80651,69853,Ba2 S4 Zr1,139,1,0,0,Zr1,4d,"p{x,y}|{xz,yz}",0,,
80871,23076,O3 Sr1 Ti1,221,1,0,0,Sr1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
80872,23076,O3 Sr1 Ti1,221,1,0,0,Sr1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
80873,23076,O3 Sr1 Ti1,221,1,0,0,Sr1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
80874,23076,O3 Sr1 Ti1,221,1,0,0,Sr1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
81203,81203,Ca2 Fe1 O6 W1,225,1,0,0,Fe1|W1,3d|5d,"e_g{z2,x2-y2}",0,,
81589,81589,H4 Cl2 Cu1 O4 Pb2,99,0,0,1,Cu1|Cl1|Cl2,-|3d,"p{x,y}|{xz,yz}",1,Pb,Cu2+
81748,81748,Co2 Ge2 Y1,139,1,0,0,Y1,4d,"p{x,y}|{xz,yz}",0,,
81750,81750,Co2 Ge2 La1,139,1,0,0,La1,-,"p{x,y}|{xz,yz}",0,,
81751,406,Ca1 Co2 Ge2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
81759,55926,Ge2 La1 Rh2,139,1,1,0,La1,-,"p{x,y}|{xz,yz}",0,,
81864,81864,Al1 F5 K2,123,1,0,0,Al1|F1,-,"p{x,y}|{xz,yz}",0,,
81870,81870,La1 O7 Rb1 Ta2,123,1,0,0,Rb1|La1|O1,-,"p{x,y}|{xz,yz}",0,,
82182,24710,Mg6 Mn1 O8,225,1,0,0,Mn1,3d,"e_g{z2,x2-y2}",0,,
