jid,formula,band,norb,dim,M_naive,M_min,ratio,centres,status
JVASP-28153,HgF,15,48,2,1.0352832208826312,1.0350230185937725,0.9997486655983501,minus,OK
JVASP-2817,K4IrO4,25,84,3,0.7249269020574729,0.17207325895051598,0.23736635854200075,minus,OK
JVASP-2817,K4IrO4,26,84,3,0.6081831731020036,0.1513503002641844,0.24885644154248926,minus,OK
JVASP-2817,K4IrO4,27,84,3,0.6069415979814163,0.1547200880378221,0.2549175877092534,minus,OK
JVASP-2817,K4IrO4,28,84,3,0.5720624118586557,0.1153768036417871,0.20168569241758577,minus,OK
JVASP-2817,K4IrO4,29,84,3,0.5540174019915403,0.12468613847449854,0.2250581624806119,minus,OK
JVASP-2817,K4IrO4,30,84,3,0.5706155437110139,0.175782173160954,0.30805710622208043,minus,OK
JVASP-2817,K4IrO4,31,84,3,0.5459040374957023,0.15274216370314297,0.2797967283844195,minus,OK
JVASP-28223,FeC2O6,42,64,2,0.9583617742429453,0.8856300099399059,0.9241082373506668,minus,OK
JVASP-28223,FeC2O6,43,64,2,0.9596084843058461,0.9024902482441608,0.9404775624686114,minus,OK
JVASP-28223,FeC2O6,44,64,2,0.856011451046319,0.7845120019629288,0.9164737235746144,minus,OK
JVASP-28223,FeC2O6,45,64,2,0.8557425205040841,0.7984531618187272,0.9330530418757151,minus,OK
JVASP-31361,PdSe6Cl2,0,72,2,2.3337584328656344,2.021364696470294,0.8661413572218996,minus,OK
JVASP-31361,PdSe6Cl2,1,72,2,2.322600783270054,2.0083143648384096,0.8646834097811885,minus,OK
JVASP-31361,PdSe6Cl2,6,72,2,0.4175516281994621,0.16098336580649647,0.3855412239695437,minus,OK
JVASP-31361,PdSe6Cl2,7,72,2,0.4158504315811925,0.16035691676719072,0.38561200034700915,minus,OK
JVASP-31377,NbBr2O,44,68,2,1.2195090691695176,1.0436879282983524,0.8558262949279263,minus,OK
JVASP-31377,NbBr2O,45,68,2,1.2202835927003999,1.0441702702065452,0.8556783656296414,minus,OK
JVASP-34485,ZrCoF6,41,60,3,0.7252976717427241,0.6625738540475234,0.9135198965350465,minus,OK
JVASP-34485,ZrCoF6,42,60,3,0.7256507784104907,0.655511196313863,0.9033425110488192,minus,OK
JVASP-34485,ZrCoF6,44,60,3,0.3699918393445883,0.272997319823019,0.737846867937986,minus,OK
JVASP-34485,ZrCoF6,45,60,3,0.36856957382066236,0.27412910522470674,0.7437648810319101,minus,OK
JVASP-34818,NiPb2N6O12,134,136,3,0.35283176975858527,0.5965623486717512,1.690784106771143,minus,OK
JVASP-34818,NiPb2N6O12,135,136,3,0.35260927905514594,0.596266165950625,1.6910109896948362,minus,OK
JVASP-35289,TbInPt4,70,72,3,0.8305551961771451,0.8170704773185746,0.9837642110715368,minus,OK
JVASP-35289,TbInPt4,71,72,3,0.8367869135180508,0.8205923819271127,0.9806467676187091,minus,OK
JVASP-35414,ZnPd5Se,0,86,3,0.3849590134997556,0.3759056919458035,0.9764823754309682,minus,OK
JVASP-35414,ZnPd5Se,1,86,3,0.3840778843868429,0.37546289706881136,0.9775696865968087,minus,OK
JVASP-35528,CdAg2I4,8,68,3,2.8466332928609015,2.4674483116933223,0.8667952833550634,minus,OK
JVASP-35528,CdAg2I4,9,68,3,2.861520460018576,2.473701875744168,0.8644711475269722,minus,OK
JVASP-35707,HfPt3,46,48,3,0.3510626004154359,0.33316515456194373,0.9490192181328546,minus,OK
JVASP-35707,HfPt3,47,48,3,0.3407033979468049,0.32899856303822084,0.9656450890154857,minus,OK
JVASP-35832,Ca2H3Br,0,38,3,0.11252762367974285,0.10364523357101535,0.9210648033054794,minus,OK
JVASP-35832,Ca2H3Br,1,38,3,0.11257980783478988,0.10364847181725931,0.9206666258425557,minus,OK
JVASP-36449,Sr3BiP,2,52,3,0.009242157725521625,0.006281202551414429,0.6796251197995996,minus,OK
JVASP-36449,Sr3BiP,3,52,3,0.009244050839661557,0.006283369562892991,0.6797203598160909,minus,OK
JVASP-36451,Sr3AsP,2,52,3,0.021113474235781117,0.012346711553504256,0.5847787728170392,minus,OK
JVASP-36451,Sr3AsP,3,52,3,0.021007176957412495,0.012293369962495042,0.5851985722506736,minus,OK
JVASP-36462,Ca3BiAs,2,52,3,2.23932979092226,2.218489570604782,0.9906935457198134,minus,OK
JVASP-36462,Ca3BiAs,3,52,3,2.2394446618682573,2.21787977854887,0.9903704325958219,minus,OK
JVASP-36463,Ca3Sb2,2,52,3,1.445513360484986,1.433396181591914,0.991617387134349,minus,OK
JVASP-36463,Ca3Sb2,3,52,3,1.4453907613030075,1.433353261533484,0.9916718024690626,minus,OK
JVASP-36464,Ca3P2,2,52,3,2.850766083748242,2.8343894603914555,0.9942553605326839,minus,OK
JVASP-36464,Ca3P2,3,52,3,2.8510164959954007,2.83475982013851,0.9942979369359226,minus,OK
JVASP-36466,Ba3BiN,0,50,3,2.1785950896759863,2.1852431102890444,1.0030515173033125,minus,OK
JVASP-36466,Ba3BiN,1,50,3,2.1787435880188877,2.1834705721861796,1.0021695917744915,minus,OK
JVASP-36473,Ba3SbN,0,50,3,2.265409173105787,2.2548198201628145,0.99532563341374,minus,OK
JVASP-36473,Ba3SbN,1,50,3,2.26541111081579,2.254825343748046,0.9953272202925092,minus,OK
JVASP-36486,Sr3BiSb,0,52,3,2.234745822738544,2.219710195184751,0.9932718847034837,minus,OK
JVASP-36486,Sr3BiSb,1,52,3,2.2325487709795064,2.2192689793903133,0.9940517350564455,minus,OK
JVASP-36493,Ba3BiP,0,52,3,1.3365581661732298,1.3294042178304637,0.9946474844688212,minus,OK
JVASP-36493,Ba3BiP,1,52,3,1.3365445520504131,1.329358522959911,0.994623427195541,minus,OK
JVASP-36495,Ca3BiSb,2,52,3,2.7083964700205883,2.693389044848166,0.9944589260329717,minus,OK
JVASP-36495,Ca3BiSb,3,52,3,2.708486196875434,2.6933555844421613,0.9944136276379302,minus,OK
JVASP-36496,Sr3BiAs,2,52,3,0.0789258312429903,0.07673024744713361,0.9721816829638815,minus,OK
JVASP-36496,Sr3BiAs,3,52,3,0.07891395249403638,0.07673782751238487,0.9724240782158774,minus,OK
JVASP-36497,Sr3BiSb,2,52,3,2.537557396569321,2.529542815380705,0.9968416157997247,minus,OK
JVASP-36497,Sr3BiSb,3,52,3,2.537134730558152,2.5296665662549094,0.9970564573440687,minus,OK
JVASP-36504,Ba3BiP,2,52,3,0.008302498438735172,0.006845440185431786,0.8245036401927516,minus,OK
JVASP-36504,Ba3BiP,3,52,3,0.008311458190986136,0.006850041446765688,0.8241684298183236,minus,OK
JVASP-36506,Ba3BiAs,2,52,3,0.017744486396295,0.016226324034951157,0.9144431499769511,minus,OK
JVASP-36506,Ba3BiAs,3,52,3,0.017780134534259806,0.01625278909277267,0.9140982067068077,minus,OK
JVASP-36507,Ba3BiSb,2,52,3,0.8422446252558389,0.8385798511374836,0.9956488008252447,minus,OK
JVASP-36507,Ba3BiSb,3,52,3,0.8422125237982392,0.8385903131929637,0.9956991727112536,minus,OK
JVASP-36510,Ca3BiSb,0,52,3,2.395880922575139,2.3506672943249534,0.9811285995793192,minus,OK
JVASP-36510,Ca3BiSb,1,52,3,2.3946850385347505,2.3502318750957008,0.9814367389766424,minus,OK
JVASP-36511,Ba3AsN,0,50,3,2.9841375550064875,2.975271914054063,0.9970290776517488,minus,OK
JVASP-36511,Ba3AsN,1,50,3,2.984303842810181,2.9753891822069933,0.9970128173695635,minus,OK
JVASP-36512,Ca3Bi2,2,52,3,2.6687080134936783,2.660535619253169,0.9969376963687344,minus,OK
JVASP-36512,Ca3Bi2,3,52,3,2.6685366572168996,2.6606455460872245,0.997042906977375,minus,OK
JVASP-36598,HfHgO3,46,48,3,2.7265799712017875,2.720853366160433,0.9978997113226683,minus,OK
JVASP-36598,HfHgO3,47,48,3,2.726352244063584,2.720878260410034,0.9979921950050772,minus,OK
