jid,formula,spg_number,spg_symbol,dimensionality,icsd,mp_id,num_wann,num_bands,optb88vdw_bandgap,zip,zip_bytes,n_files_in_zip,has_hr_dat,hr_dat_name,hr_dat_bytes,has_win,has_wout,has_eig,has_poscar,figshare_article,error,metadata_source
JVASP-18778,SmPt3,221,Pm-3m,3D,105790,mp-30845,52,77,0.0,JVASP-18778.zip,9827994,12,True,wannier90_hr.dat,46375399,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18785,ZnPt3,221,Pm-3m,3D,105853,mp-30856,54,80,0.0,JVASP-18785.zip,8944190,12,True,wannier90_hr.dat,50011199,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18790,Ta3Sn,223,Pm-3n,3D,106076,mp-30871,88,104,0.0,JVASP-18790.zip,22009649,12,True,wannier90_hr.dat,132811399,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18802,SrAgBi,194,P6_3/mmc,3D,57019,mp-31018,64,104,0.0,JVASP-18802.zip,4724437,12,True,wannier90_hr.dat,23962254,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18806,Sc6Te2Rh,189,P-62m,3D,98971,mp-31072,100,122,0.0,JVASP-18806.zip,14995297,12,True,wannier90_hr.dat,85500928,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18813,BaBiAu,194,P6_3/mmc,3D,,mp-31140,64,96,0.0,JVASP-18813.zip,10067493,12,True,wannier90_hr.dat,58779116,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18814,SrBiAu,194,P6_3/mmc,3D,,mp-31141,64,96,0.0,JVASP-18814.zip,9615850,12,True,wannier90_hr.dat,55911845,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18817,Ca3SbN,221,Pm-3m,3D,106352,mp-31157,50,54,0.0,JVASP-18817.zip,7900718,12,True,wannier90_hr.dat,42876799,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18818,CaZnSn,186,P6_3mc,3D,106358,mp-31160,76,92,0.0,JVASP-18818.zip,9052544,12,True,wannier90_hr.dat,56317049,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18838,InPd3,221,Pm-3m,3D,"59476,247190,247191,247192,247193,247196,247197",mp-31337,44,70,0.0,JVASP-18838.zip,6059937,12,True,wannier90_hr.dat,33204199,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
