num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,material_id,verification,icsd_ids_verified,n_icsd_verified,site_formula,site_space_group_number
149,Y5Mo2O12,C2/m,12,SM,yes,Fig. 27,27,b,FM,,HQ,2,60957 62215,,60957,matched,60957 62215,2,Mo2 O12 Y5,12
150,K(H2PO4),P2/c,13,Triv.,yes,Fig. 28,28,,NM,,HQ,1,79341,,79341,matched,79341,1,H2 K1 O4 P1,13
151,RbLi2Ga2(BO3)3,P2/c,13,Triv.,no,,,b,NM,,HQ,1,280205,,280205,matched,280205,1,B3 Ga2 Li2 O9 Rb1,13
152,Na(CN)(H2O)2,P21/c,14,Triv.,no,,,,NM,,,3,830 2244 16765,,830,matched,830 2244 16765,3,C1 H4 N1 Na1 O2,14
153,Li(NH4)(PO3F),P21/c,14,Triv.,no,,,,NM,,,1,1439,,1439,matched,1439,1,H4 F1 Li1 N1 O3 P1,14
154,Li2(SO4),P21/c,14,Triv.,no,,,b,NM,,HQ,4,2512 58 23723 30276,,58,matched,58 2512 23723 30276,4,Li2 O4 S1,14
155,B2F4,P21/c,14,Triv.,no,,,,NM,,,7,27867 31823 647640 190632 673316 84848 190631,31823(s) 647640(s) 673316(s) 84848(s) 190631(s),27867,matched,27867,1,B2 F4,14
156,WO3,P21/c,14,Triv.,no,,,b,NM,,,7,14332 17003 16080 80056 50727 80057 190630,14332(s) 17003(s) 80056(s) 190630(s),14332,matched,14332 16080 17003 31823 50727 80056 80057 84848 190630 190631 190632 647640 673316,13,O3 W1,14
157,Cs(HSO4),P21/c,14,Triv.,no,,,,NM,,HQ,5,67108 39252 91808 291375 291374,,39252,matched,39252 67108 91808 291374 291375,5,H1 Cs1 O4 S1,14
158,Mo(As2O7),P21/c,14,Triv.,no,,,"b,s",NM,,,1,72518,,72518,matched,72518,1,As2 Mo1 O7,14
159,Cu(HSeO3)2(H2O)2,P21/c,14,SM,no,,,,FM,,,1,80932,,80932,matched,80932,1,H6 Cu1 O8 Se2,14
160,Cd(MoO2)(PO4),P21/c,14,Triv.,no,,,b,FM,,,1,82090,,82090,matched,82090,1,Cd1 Mo1 O6 P1,14
161,(HCONH2)2(Cu(HCOO)2),P21/c,14,SM,no,,,,FM,,,2,109973 194113,,109973,matched,109973 194113,2,C4 H8 Cu1 N2 O6,14
162,Pb2Cu(BO3)2,P21/c,14,SM,no,,,b,FM,,HQ,7,155317 15805 24270 159550 30893 30895 34163,"15805(b,s) 24270(b) 30893(b) 30895(b) 34163(b)",155317,matched,155317,1,B2 Cu1 O6 Pb2,14
163,Mg(SiO3),P21/c,14,Triv.,no,,,,NM,,,6,92750 159551 159552 159553 180445 196432,92750(b) 159551(b) 159552(b) 159553(b) 180445(b) 196432(b),15805,matched,15805 24270 30893 30895 34163 92750 159550 159551 159552 159553 180445 196432 201535,13,Mg1 O3 Si1,14
164,Sn2(P2O7),P21/c,14,Triv.,no,,,,NM,,HQ,2,201535 170847,201535(b),170847,matched,170847,1,O7 P2 Sn2,14
165,K2(SeMoO6),P21/c,14,Triv.,no,,,,NM,,,1,412999,,412999,matched,412999,1,K2 Mo1 O6 Se1,14
166,OsOF4,P21/c,14,Triv.,no,,,,NM,,HQ,1,417246,,417246,matched,417246,1,F4 O1 Os1,14
167,KAgAsS2,P21/c,14,Triv.,yes,Fig. 28,28,,,,,1,431760,,431760,matched,431760,1,Ag1 As1 K1 S2,14
168,Na2TeO3,P21/c,14,Triv.,no,,,,NM,,,1,100693,,100693,matched,100693,1,Na2 O3 Te1,14
169,ScOF,P21/c,14,Triv.,no,,,b,NM,,HQ,16,24112 100562 100563 100564 963 16616 24640 79550 79551 79552 79553 79555 79554 81096 196150 245074,963(b) 16616(b) 79553(b) 79555(b) 81096(b) 196150(b) 245074(b),24112,matched,24112 100562 100563 100564,4,F1 O1 Sc1,14
