num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
731,Rb2CuCl4(H2O)2,P42/mnm,136,SM,,FM,,HQ,1,71867,
732,(NH4)2(Cu(H2O)2Br2)Br2,P42/mnm,136,SM,,FM,,,3,88887 88888 88889,
733,Li2(MoF6),P42/mnm,136,Triv.,b,FM,,HQ,1,74565,
734,Li2(RhF6),P42/mnm,136,SM,b,FM,,HQ,2,95778 165211,
735,Li2(PdF6),P42/mnm,136,Triv.,b,NM,,HQ,1,165212,
736,Li2(CrF6),P42/mnm,136,Triv.,b,FM,,HQ,1,418676,
737,Mg(ClO2)2(H2O)6,P42/nmc,137,Triv.,,NM,,,1,69587,
738,(CsF)2(Br2),I4/mmm,139,Triv.,,NM,,HQ,2,84021 84022,
739,Rb2Na(MnF6),I4/mmm,139,Triv.,b,FM,,,1,9708,
740,Cs2K(MnF6),I4/mmm,139,Triv.,,FM,,,3,91197 22110 91036,91197(b)
741,K2NaMnF6,I4/mmm,139,Triv.,"b,s",FM,,,1,61117,
742,Cs3(O(ReCl5)2),I4/mmm,139,SM,,FM,,HQ,1,31,
743,CsNi(CN)2Br,I4/mmm,139,TI,,,,HQ,1,380468,
744,CsNi(CN)2Cl,I4/mmm,139,TI,,,,HQ,1,380469,
745,RbNi(CN)2Br,I4/mmm,139,TI,,FM,,HQ,1,380470,
746,RbNi(CN)2Cl,I4/mmm,139,TI,,FM,,HQ,1,380471,
747,K2(OsO2Cl4),I4/mmm,139,Triv.,,NM,,HQ,2,15454 36231,
748,Cs2NiO2,I4/mmm,139,Triv.,b,AFM,,HQ,1,423923,
749,KrF2,I4/mmm,139,Triv.,,NM,,HQ,1,279623,
750,Rb(BrF4),I4/mcm,140,Triv.,,NM,,HQ,2,65713 670019,
751,Ba(C4O4),I4/mcm,140,Triv.,,NM,,HQ,1,412830,
752,Cs3(MnCl5),I4/mcm,140,SM,b,FM,,HQ,1,24,
753,Cs3FeBr5,I4/mcm,140,SM,b,FM,,,4,4065 14087 15245 16397,14087(b) 15245(b) 16397(b)
754,Cs3(CoCl4)Cl,I4/mcm,140,SM,,FM,,HQ,4,28533 16556 31032 280443,28533(b) 280443(b)
755,Cs3NiCl5,I4/mcm,140,Triv.,,FM,,HQ,1,59372,
756,Cs3CoBr5,I4/mcm,140,SM,b,FM,,HQ,1,201135,
757,SrCuF4,I4/mcm,140,SM,b,FM,,,1,9927,
758,CaCuF4,I4/mcm,140,SM,b,FM,,,1,9928,
759,SrPdF4,I4/mcm,140,Triv.,,NM,,,1,108990,
760,NaBrF4,I4/mcm,140,Triv.,b,,,,1,431176,
761,(Pd(NH3)4)(CrO4),I41/amd,141,Triv.,,NM,,,1,72997,
762,Cr(H2O)6F3(H2O)3,R3,146,SM,,FM,,,1,2379,
763,Cl3(Co(CO)4)Sn,R3,146,Triv.,,NM,,HQ,1,69685,
764,KNi(PO3)3,R3,146,SM,b,AFM,,HQ,1,91527,
765,(Cs2(SO4))(Te(OH)6),R3,146,Triv.,,,,HQ,1,93016,
766,Li3VO4(H2O)6,R3,146,Triv.,,NM,,HQ,1,174238,
767,(Mg(H2O)6)(HPO3),R3,146,Triv.,,NM,,HQ,2,74520 74521,
768,Cs2Na(Bi(SCN)6),P3̄,147,Triv.,,,,,1,79593,
769,Li2Pt(OH)6,P3̄,147,Triv.,,NM,,HQ,1,251041,
770,Na2Pt(OH)6,P3̄,147,Triv.,,NM,,HQ,1,251042,
771,Cs2Sn(OOH)6,P3̄,147,Triv.,,NM,,HQ,1,260828,
772,Ca10(PO4)6Se,P3̄,147,Triv.,,NM,,,1,410781,
773,Ba10(PO4)6S,P3̄,147,Triv.,,NM,,,1,410785,
774,Cd2(Os(CN)6),P3̄,147,Triv.,b,,,HQ,1,417821,
775,Cd2(Ru(CN)6),P3̄,147,Triv.,b,,,HQ,1,417822,
